mode,month,dtrip,dtrip_y2,expansion_factor,draw
pr,9,141717.908203125,136077.7060546875,.9602012,37
sh,9,38454.34765625,35980.79339599609,.93567556,37
fh,10,3634.162399291992,3661.454040527344,1.0075097,37
pr,10,49954.74145507813,50912.43969726563,1.0191714,37
sh,10,20519.93188476563,22098.38818359375,1.0769231,37
fh,11,851.7164878845215,855.703369140625,1.004681,37
pr,11,75395.06640625,62090.0546875,.82352942,37
sh,11,0,0,1,37
fh,12,1187.831611633301,1425.397933959961,1.2,37
pr,12,0,0,1,37
sh,12,0,0,1,37
fh,1,0,0,1,38
pr,1,0,0,1,38
sh,1,0,0,1,38
fh,2,0,0,1,38
pr,2,0,0,1,38
sh,2,0,0,1,38
fh,3,0,0,1,38
pr,3,0,0,1,38
sh,3,0,0,1,38
fh,4,0,0,1,38
pr,4,9915.45703125,9915.45703125,1,38
sh,4,8105.800048828125,8105.800048828125,1,38
fh,5,750.8455963134766,804.477424621582,1.0714285,38
pr,5,32088.36157989502,34134.89440917969,1.063778,38
sh,5,34964.80560302734,35760.03051757813,1.0227436,38
fh,6,838.8014030456543,844.4919586181641,1.0067842,38
pr,6,66307.04772949219,65959.3369140625,.99475604,38
sh,6,130891.0638427734,126256.119140625,.9645893,38
fh,7,2715.712997436523,2721.643608093262,1.0021838,38
pr,7,227620.947265625,224899.5180664063,.98804402,38
sh,7,235830.37890625,227923.5859375,.96647257,38
fh,8,2587.383918762207,2532.824039459229,.97891313,38
pr,8,221932.7104492188,230147.8251953125,1.0370163,38
sh,8,301943.2138671875,311626.9365234375,1.0320714,38
fh,9,1253.041885375977,1267.989479064941,1.011929,38
pr,9,142191.177734375,136879.240234375,.96264231,38
sh,9,19550.93090820313,18403.11860656738,.94129115,38
fh,10,4167.093673706055,4155.427261352539,.99720037,38
pr,10,38586.14794921875,40071.27307128906,1.0384885,38
sh,10,0,0,1,38
fh,11,365.9267520904541,434.8895645141602,1.1884607,38
pr,11,97903.73046875,80626.6015625,.82352942,38
sh,11,0,0,1,38
fh,12,0,0,1,38
pr,12,0,0,1,38
sh,12,0,0,1,38
fh,1,0,0,1,39
pr,1,0,0,1,39
sh,1,0,0,1,39
fh,2,0,0,1,39
pr,2,0,0,1,39
sh,2,0,0,1,39
fh,3,0,0,1,39
pr,3,0,0,1,39
sh,3,0,0,1,39
fh,4,0,0,1,39
pr,4,641.2050018310547,641.2050018310547,1,39
sh,4,17170.47509765625,17170.47509765625,1,39
fh,5,1194.131336212158,1215.588207244873,1.0179687,39
pr,5,8518.459503173828,8974.476501464844,1.0535328,39
sh,5,31760.94897460938,33164.93286132813,1.0442047,39
fh,6,1032.838726043701,1003.555213928223,.97164756,39
pr,6,59496.29333496094,58660.16259765625,.98594654,39
sh,6,221292.59765625,216015.681640625,.97615415,39
fh,7,2549.606918334961,2568.909927368164,1.007571,39
pr,7,271338.328125,270645.0927734375,.99744511,39
sh,7,432169.546875,410102.451171875,.94893879,39
fh,8,2219.819541931152,2204.290813446045,.9930045,39
pr,8,222723.3522949219,233320.41015625,1.0475794,39
sh,8,375472.419921875,388444.509765625,1.0345488,39
fh,9,816.8154182434082,815.7173614501953,.99865568,39
pr,9,154680.4423828125,149432.759765625,.96607405,39
sh,9,38575.19091796875,36282.5481262207,.9405669,39
fh,10,5413.205795288086,5415.999694824219,1.0005162,39
pr,10,42783.98510742188,44464.36962890625,1.039276,39
sh,10,29851.97045898438,32148.27587890625,1.0769231,39
fh,11,760.99338722229,771.9425621032715,1.014388,39
